"datetime","nee","temp"
2019-01-01,1.21250065957601,0.485395833333333
2019-01-02,0.698242667180612,-6.76812291666667
2019-01-03,0.723344305215923,-6.10511041666667
2019-01-04,1.37813515946222,-0.15715625
2019-01-06,0.734499457812203,0.259039583333333
2019-01-10,0.708297956506023,-3.34251041666667
2019-01-11,0.543752662683697,-12.6178625
2019-01-12,0.584059452476549,-14.4143979166667
2019-01-13,0.384865567222882,-10.50744375
2019-01-14,0.672163192377004,-10.81409375
2019-01-15,0.7074213026661,-4.38091666666667
2019-01-16,1.03631758347029,-3.33888125
2019-01-17,0.657531699364906,-11.87719375
2019-01-18,0.361935375652577,-10.2987458333333
2019-01-19,0.954453890119107,-7.12777291666667
2019-01-20,0.547261924951025,-10.351775
2019-01-21,0.641195370246321,-18.8437354166667
2019-02-06,0.822200118647871,-0.594885416666667
2019-02-09,0.836534102932459,-6.93492291666667
2019-02-10,0.619755936112431,-7.69524583333333
2019-02-11,0.56988359435517,-7.77454375
2019-02-12,0.795505833338955,-11.3445041666667
2019-02-14,0.73487242787481,-3.6045125
2019-02-16,0.761036561928382,-1.13479166666667
2019-02-17,0.580005899938842,-6.06407291666667
2019-02-19,0.554916050443891,-11.0091708333333
2019-02-20,0.518464047501707,-7.96830833333333
2019-02-22,0.71332534523358,-0.517691666666667
2019-02-25,1.05673841585226,-1.6458625
2019-02-26,0.656027854966887,-11.5344104166667
2019-03-20,0.6712978342902,-1.91117083333333
2019-03-21,1.50609597126644,1.85402916666667
2019-03-23,1.19691383280959,-0.0873458333333333
2019-03-24,0.962795787695907,2.23117291666667
2019-03-25,0.900825689810147,0.129339583333333
2019-03-26,0.783893971770533,-3.06703541666667
2019-03-27,0.860136848749999,-0.921933333333333
2019-03-28,1.15835881226677,1.71795833333333
2019-04-02,0.625006736010925,0.15965625
2019-04-03,0.707109784135978,3.90745
2019-04-04,1.40108459624306,0.376875
2019-04-05,0.623556365901719,0.511541666666667
2019-04-06,0.661094552927031,3.35238958333333
2019-04-07,0.497419861137073,6.43374166666667
2019-04-11,0.143128507861187,1.41759166666667
2019-04-12,0.228824050960227,3.00041041666667
2019-04-13,0.955798424980939,10.64745625
2019-04-14,0.16056264922416,11.7568083333333
2019-04-16,0.0341462476789157,3.1370375
2019-04-17,-0.694494157101456,6.733025
2019-04-18,-0.143985879595953,3.3703375
2019-04-19,-0.324998280212371,8.26953125
2019-04-20,2.51196444995491,16.1577875
