site_id,datetime,variable,observation
kent,7/21/20,oxygen,6.86
kent,7/21/20,temperature,13.2
kent,7/21/20,don,660
kent,7/21/20,flow,0.237625
kent,7/28/20,chla,0.002
kent,7/28/20,amm,52
kent,7/28/20,frp,24
kent,7/28/20,oxygen,7.31
kent,7/28/20,temperature,15.84766667
kent,7/28/20,don,420
kent,7/28/20,flow,0.327458329
kent,8/4/20,chla,0.00195
kent,8/4/20,amm,52
kent,8/4/20,frp,24
kent,8/4/20,oxygen,6.55
kent,8/4/20,temperature,13.57333333
kent,8/4/20,don,420
kent,8/4/20,flow,0.186291669
kent,8/11/20,chla,0.0018
kent,8/11/20,amm,35
kent,8/11/20,frp,13
kent,8/11/20,oxygen,6.83
kent,8/11/20,temperature,14.44266667
kent,8/11/20,don,400
kent,8/11/20,flow,0.566708336
kent,8/18/20,chla,0.0016
kent,8/18/20,amm,35
kent,8/18/20,frp,13
kent,8/18/20,oxygen,7.64
kent,8/18/20,temperature,14.218
kent,8/18/20,don,400
kent,8/18/20,flow,0.60845833
kent,8/25/20,chla,0.0014
kent,8/25/20,amm,38
kent,8/25/20,frp,18
kent,8/25/20,oxygen,7.24
kent,8/25/20,temperature,15.403
kent,8/25/20,don,380
kent,8/25/20,flow,0.233708334
kent,9/1/20,chla,0.00715
kent,9/1/20,amm,38
kent,9/1/20,frp,18
kent,9/1/20,oxygen,7.56
kent,9/1/20,temperature,15.58366667
kent,9/1/20,don,380
kent,9/1/20,flow,0.393958333
kent,9/8/20,chla,0.002
kent,9/8/20,amm,44
kent,9/8/20,frp,28
kent,9/8/20,oxygen,6.52
kent,9/8/20,temperature,15.8815
kent,9/8/20,don,400
kent,9/8/20,flow,0.790333328
kent,9/15/20,chla,0.00235
kent,9/15/20,amm,44
kent,9/15/20,frp,28
kent,9/15/20,oxygen,6.71
kent,9/15/20,temperature,17.427
kent,9/15/20,don,400
kent,9/15/20,flow,0.274000003
kent,9/22/20,chla,0.0061
kent,9/22/20,amm,36
kent,9/22/20,frp,25
kent,9/22/20,oxygen,7.07
kent,9/22/20,temperature,15.666
kent,9/22/20,don,390
kent,9/22/20,flow,0.246708333
kent,9/29/20,chla,0.0091
kent,9/29/20,amm,36
kent,9/29/20,frp,25
kent,9/29/20,oxygen,6.34
kent,9/29/20,temperature,17.687
kent,9/29/20,don,390
kent,9/29/20,flow,0.167374999
kent,10/6/20,chla,0.0067
kent,10/6/20,amm,23
kent,10/6/20,frp,18.5
kent,10/6/20,oxygen,6.49
kent,10/6/20,temperature,17.31033333
kent,10/6/20,don,410
kent,10/6/20,flow,0.141479166
kent,10/13/20,chla,0.0145
kent,10/13/20,amm,10
kent,10/13/20,frp,12
kent,10/13/20,oxygen,4.6
kent,10/13/20,temperature,19.57533333
kent,10/13/20,don,430
kent,10/13/20,flow,0.071374999
kent,10/20/20,chla,0.018
kent,10/20/20,amm,10
kent,10/20/20,frp,12
kent,10/20/20,oxygen,5.77
kent,10/20/20,temperature,21.262
kent,10/20/20,don,510
kent,10/20/20,flow,0.090916667
kent,10/27/20,chla,0.0125
kent,10/27/20,amm,10
kent,10/27/20,frp,12
kent,10/27/20,oxygen,2.61
kent,10/27/20,temperature,21.946
kent,10/27/20,don,510
kent,10/27/20,flow,0.108083333
kent,11/3/20,chla,0.004
kent,11/3/20,amm,49
kent,11/3/20,frp,25
kent,11/3/20,oxygen,4.67
kent,11/3/20,temperature,20.268
kent,11/3/20,don,370
kent,11/3/20,flow,0.148833333
kent,11/10/20,chla,0.00785
kent,11/10/20,amm,49
kent,11/10/20,frp,25
kent,11/10/20,oxygen,5.17
kent,11/10/20,temperature,19.21166667
kent,11/10/20,don,370
kent,11/10/20,flow,0.417624999
kent,11/17/20,chla,0.0035
kent,11/17/20,amm,15
kent,11/17/20,frp,12
kent,11/17/20,oxygen,6.19
kent,11/17/20,temperature,20.35233333
kent,11/17/20,don,440
kent,11/17/20,flow,0.237374999
kent,11/24/20,chla,0.017
kent,11/24/20,amm,15
kent,11/24/20,frp,12
kent,11/24/20,oxygen,6.91
kent,11/24/20,temperature,23.23966667
kent,11/24/20,don,440
kent,11/24/20,flow,0.13025
kent,12/1/20,chla,0.012
kent,12/1/20,amm,10
kent,12/1/20,frp,11
kent,12/1/20,oxygen,5.48
kent,12/1/20,temperature,21.892
kent,12/1/20,don,570
kent,12/1/20,flow,0.121125001
kent,12/8/20,chla,0.00645
kent,12/8/20,amm,10
kent,12/8/20,frp,11
kent,12/8/20,oxygen,4.52
kent,12/8/20,temperature,23.003
kent,12/8/20,don,570
kent,12/8/20,flow,0.072625001
kent,12/15/20,chla,0.011
kent,12/15/20,amm,10
kent,12/15/20,frp,7
kent,12/15/20,oxygen,6.87
kent,12/15/20,temperature,23.05066667
kent,12/15/20,don,490
kent,12/15/20,flow,0.051166666
kent,12/22/20,chla,0.0043
kent,12/22/20,amm,10
kent,12/22/20,frp,7
kent,12/22/20,oxygen,6.45
kent,12/22/20,temperature,24.989
kent,12/22/20,don,490
kent,12/22/20,flow,0.046125
kent,12/29/20,chla,0.0088
kent,12/29/20,amm,10
kent,12/29/20,frp,7
kent,12/29/20,oxygen,6.78
kent,12/29/20,temperature,24.946
kent,12/29/20,don,530
kent,12/29/20,flow,0.032916667
kent,1/5/21,chla,0.0088
kent,1/5/21,amm,10
kent,1/5/21,frp,7
kent,1/5/21,oxygen,6.78
kent,1/5/21,temperature,24.946
kent,1/5/21,don,530
kent,1/5/21,flow,0.032916667
kent,1/12/21,chla,0.0061
kent,1/12/21,amm,10
kent,1/12/21,frp,7
kent,1/12/21,oxygen,5.02
kent,1/12/21,temperature,25.852
kent,1/12/21,don,560
kent,1/12/21,flow,0.029791667
kent,1/19/21,chla,0.0101
kent,1/19/21,amm,10
kent,1/19/21,frp,7
kent,1/19/21,oxygen,1.61
kent,1/19/21,temperature,26.1
kent,1/19/21,don,560
kent,1/19/21,flow,0.037791667
kent,1/26/21,chla,0.0096
kent,1/26/21,amm,10
kent,1/26/21,frp,6
kent,1/26/21,oxygen,5.41
kent,1/26/21,temperature,25.388
kent,1/26/21,don,550
kent,1/26/21,flow,0.0285
kent,2/2/21,chla,0.00745
kent,2/2/21,amm,10
kent,2/2/21,frp,6
kent,2/2/21,oxygen,5.71
kent,2/2/21,temperature,25.66666667
kent,2/2/21,don,550
kent,2/2/21,flow,0.029375
kent,2/9/21,chla,0.043
kent,2/9/21,amm,10
kent,2/9/21,frp,12
kent,2/9/21,oxygen,7.1
kent,2/9/21,temperature,22.08
kent,2/9/21,don,470
kent,2/9/21,flow,0.032625
kent,2/16/21,chla,0.013
kent,2/16/21,amm,10
kent,2/16/21,frp,12
kent,2/16/21,oxygen,5.75
kent,2/16/21,temperature,24.97833333
kent,2/16/21,don,470
kent,2/16/21,flow,0.032625
kent,2/23/21,chla,0.003
kent,2/23/21,amm,34
kent,2/23/21,frp,30
kent,2/23/21,oxygen,7.38
kent,2/23/21,temperature,24.525
kent,2/23/21,don,430
kent,2/23/21,flow,0.0545
kent,3/2/21,chla,0.01
kent,3/2/21,amm,34
kent,3/2/21,frp,30
kent,3/2/21,oxygen,7.07
kent,3/2/21,temperature,23.15233333
kent,3/2/21,don,430
kent,3/2/21,flow,0.110166667
kent,3/9/21,chla,0.014
kent,3/9/21,amm,10
kent,3/9/21,frp,16
