"datetime","chla","amm","frp","temperature","oxygen","don","flow","windspeed","solar_irradiance"
2021-06-22,0.00175,49,26,12.1853333333333,13.78,250,0.120125000675519,NA,NA
2021-06-29,0.0013,NA,NA,12.9433333333333,3.67,NA,0.176875001440446,NA,NA
2021-07-06,0.00185,18,20,13.524,6.88,490,1.61129166930914,NA,NA
2021-07-20,7e-04,18,43,14.6106666666667,6.85,430,2.54954166213671,NA,NA
2021-07-28,9e-04,NA,NA,14.1846666666667,6.77,NA,2.02220833301544,NA,NA
2021-08-03,7e-04,26,47,12.9783333333333,7.45,490,1.12983334561189,NA,NA
2021-08-11,8e-04,NA,NA,12.8743333333333,7.74,NA,1.23100002110004,NA,NA
2021-08-17,0.00125,47,43,15.104,7.26,450,0.498791673531135,NA,NA
2021-08-24,0.0013,NA,NA,14.468,7.46,NA,0.418416667729616,NA,NA
2021-08-31,0.00155,10,31,16.2696666666667,6.94,460,0.428208332508802,NA,NA
2021-09-07,0.0012,NA,NA,15.0776666666667,7.33,NA,0.346958331763744,NA,NA
2021-09-14,0.00145,44,35,15.279,7.28,510,0.275791669885318,NA,NA
2021-09-21,0.0016,NA,NA,16.4726666666667,7.04,NA,0.359499999632438,NA,NA
2021-09-29,0.00315,10,33,17.7106666666667,6.04,450,0.255874995142221,NA,NA
2021-10-05,0.0012,NA,NA,16.611,6.76,NA,0.472624998539686,NA,NA
2021-10-12,0.0016,10,34,17.066,6.34,460,0.333833336830139,NA,NA
2021-10-19,0.0022,NA,NA,19.652,3.89,NA,0.868875004351139,NA,NA
2021-10-26,0.00215,56,39,18.7423333333333,5.63,410,0.857416663318872,NA,NA
2021-11-02,0.0013,NA,NA,18.7556666666667,5.97,NA,0.249666664749384,NA,NA
2021-11-09,0.0087,44,32,19.875,7.26,530,0.143000001087785,NA,NA
2021-11-16,0.0023,NA,NA,21.891,7.17,NA,0.0719583337195218,NA,NA
2021-11-23,0.00905,37,32,22.2353333333333,7.21,550,0.108416666897635,NA,NA
2021-11-30,5e-04,NA,NA,24.6016666666667,6.16,NA,0.0520833334885538,NA,NA
2021-12-07,0.0076,14,24,23.99,1.91,580,0.0529583335543672,NA,NA
2021-12-14,0.01,NA,NA,23.862,6.8,NA,0.0682500006320576,NA,NA
2021-12-21,0.012,10,23,23.944,7.27,590,0.0710833333432674,NA,NA
