site_id,variable_id,variable_unit,variable_name,variable_description
konz,nee,gC/m2/day,net ecosystem exchange,Daily mean net ecosystem exchange is the net exchange of carbon dioxide between the air and a terrestrial ecosystem.
konz,temp,degrees C,air temperature,Air temperature is measured in degrees Celsius
